"","gene","FoldChange","p_value"
"ENSG00000230051","ENSG00000230051",-3.70043971814109,0.136186172470911
"ENSG00000229228","ENSG00000229228",-4.4594316186373,0.27178004828555
"ENSG00000287492","ENSG00000287492",-Inf,0.22534801670242
"ENSG00000249460","ENSG00000249460",-Inf,0.0577298265035732
"ENSG00000285294","ENSG00000285294",-2.95419631038687,0.295674428793964
"ENSG00000254395","ENSG00000254395",-3.32192809488736,0.162244224642739
"ENSG00000285336","ENSG00000285336",-3.90689059560852,0.210339964003311
"ENSG00000258551","ENSG00000258551",-2.84799690655495,0.201801233294748
"ENSG00000230936","ENSG00000230936",-4.8073549220576,0.100719329701058
"ENSG00000287668","ENSG00000287668",-Inf,0.279706641454565
"ENSG00000233977","ENSG00000233977",-2.8073549220576,0.191354914165281
"ENSG00000287849","ENSG00000287849",-4.95419631038687,0.179662818006223
"ENSG00000288545","ENSG00000288545",-4.04439411935845,0.109803122038559
"ENSG00000134757","ENSG00000134757",-3.70043971814109,0.215120272670129
"ENSG00000108759","ENSG00000108759",-4.90689059560852,0.198714452154531
"ENSG00000184344","ENSG00000184344",-4.12928301694497,0.282261543505426
"ENSG00000286481","ENSG00000286481",-3.32192809488736,0.225111701379647
"ENSG00000215117","ENSG00000215117",-3.16992500144231,0.209338573783383
"ENSG00000257927","ENSG00000257927",-3.39231742277876,0.201877278664783
"ENSG00000239975","ENSG00000239975",-5,0.184291026208329
"ENSG00000286081","ENSG00000286081",-2.64385618977472,0.161572703813097
"ENSG00000211794","ENSG00000211794",-3.58496250072116,0.243719816945039
"ENSG00000236081","ENSG00000236081",-3.08746284125034,0.261481045024654
"ENSG00000186847","ENSG00000186847",-4.35755200461808,0.261545127968398
"ENSG00000109132","ENSG00000109132",-5.16992500144231,0.218588727414206
"ENSG00000286580","ENSG00000286580",-3.49185309632967,0.29708187193805
"ENSG00000243955","ENSG00000243955",-3.61470984411521,0.02982751927587
"ENSG00000258932","ENSG00000258932",-2.68805599368526,0.159743850728558
"ENSG00000112499","ENSG00000112499",-3.24792751344359,0.246566273970467
"ENSG00000064218","ENSG00000064218",-2.63226821549951,0.168250654115706
"ENSG00000143196","ENSG00000143196",-2.58496250072116,0.0607302024113288
"ENSG00000227017","ENSG00000227017",-2.78427130894456,0.0985089377690956
"ENSG00000231394","ENSG00000231394",-2.48112668973662,0.241997656022994
"ENSG00000233308","ENSG00000233308",-2.65535182861255,0.208669021706308
"ENSG00000261399","ENSG00000261399",-3.07528812730424,0.138796593049585
"ENSG00000224141","ENSG00000224141",-4.58496250072116,0.180650890901838
"ENSG00000236212","ENSG00000236212",-4.49185309632967,0.197984257873096
"ENSG00000108255","ENSG00000108255",-2.87446911791614,0.261846309450327
"ENSG00000231806","ENSG00000231806",-2.69031550086738,0.214270632316426
"ENSG00000273367","ENSG00000273367",-2.55019708256048,0.119015720475989
"ENSG00000262267","ENSG00000262267",-3.93073733756289,0.278001056376863
"ENSG00000185290","ENSG00000185290",-2.75002174699165,0.299638222737388
"ENSG00000226806","ENSG00000226806",-5.64385618977472,0.293272828132501
"ENSG00000048462","ENSG00000048462",-2.45066140900957,0.261881343227862
"ENSG00000251039","ENSG00000251039",-5.61470984411521,0.200665115288659
"ENSG00000251623","ENSG00000251623",-2.9499593175004,0.196323250088407
"ENSG00000285675","ENSG00000285675",-2.70043971814109,0.294944107643596
"ENSG00000095917","ENSG00000095917",-3.4594316186373,0.032008682166548
"ENSG00000258274","ENSG00000258274",-2.48239276708061,0.292388312454785
"ENSG00000167941","ENSG00000167941",-2.65207669657969,0.224201428977326
"ENSG00000266088","ENSG00000266088",-3.27301849440642,0.176730512860605
"ENSG00000286452","ENSG00000286452",-3.32192809488736,0.183139414259235
"ENSG00000231107","ENSG00000231107",-2.54432051622381,0.0359113676739662
"ENSG00000211647","ENSG00000211647",-Inf,0.170647875140027
"ENSG00000171517","ENSG00000171517",-2.3890422907459,0.103565532262164
"ENSG00000214146","ENSG00000214146",-2.24462236871991,0.291788699623303
"ENSG00000151365","ENSG00000151365",-2.83871909296694,0.260622758990409
"ENSG00000287951","ENSG00000287951",-3.55019708256048,0.155699871316231
"ENSG00000285576","ENSG00000285576",-3.30580842952409,0.119880983618282
"ENSG00000211747","ENSG00000211747",-2.62243720613982,0.291058824885875
"ENSG00000232258","ENSG00000232258",-3.01495034146597,0.252002742158353
"ENSG00000202111","ENSG00000202111",-4.71881824745595,0.234233258886546
"ENSG00000286540","ENSG00000286540",-3.25481389902883,0.125238915979817
"ENSG00000254109","ENSG00000254109",-2.12199052437861,0.107636986025217
"ENSG00000211950","ENSG00000211950",-2.47643804394299,0.258804986878678
"ENSG00000228358","ENSG00000228358",-2.58496250072116,0.242295546914004
"ENSG00000282939","ENSG00000282939",-2.31227792485364,0.233239899358442
"ENSG00000143125","ENSG00000143125",-2.07528812730424,0.167773919612875
"ENSG00000213355","ENSG00000213355",-4.30985526258679,0.275037741346296
"ENSG00000147378","ENSG00000147378",-3.37637587890974,0.0890773326321906
"ENSG00000186471","ENSG00000186471",-2.88752527074159,0.289640975767732
"ENSG00000251511","ENSG00000251511",-5.18322182405577,0.207610326144278
"ENSG00000259828","ENSG00000259828",-2.74495838491974,0.296970319155601
"ENSG00000055957","ENSG00000055957",-2.47477958297073,0.255579909937907
"ENSG00000253819","ENSG00000253819",-2.64981364507112,0.285227147625087
"ENSG00000160180","ENSG00000160180",-2.71516122384786,0.166882812959899
"ENSG00000184350","ENSG00000184350",-2.73696559416621,0.156359847914589
"ENSG00000118231","ENSG00000118231",-4.25738784269265,0.0795561637890864
"ENSG00000099937","ENSG00000099937",-2.9196578916824,0.262628412274678
"ENSG00000254092","ENSG00000254092",-2.70360699721978,0.016611092322735
"ENSG00000260135","ENSG00000260135",-2.90963597234734,0.191724614340157
"ENSG00000163751","ENSG00000163751",-2.69187770463767,0.161575705142545
"ENSG00000286404","ENSG00000286404",-4.43462822763672,0.103087040304531
"ENSG00000138395","ENSG00000138395",-2.21931302840448,0.198960119638912
"ENSG00000287872","ENSG00000287872",-3.84799690655495,0.253504919642422
"ENSG00000264345","ENSG00000264345",-1.93859945533586,0.282913175136933
"ENSG00000259518","ENSG00000259518",-5.4093909361377,0.241169436493161
"ENSG00000172236","ENSG00000172236",-3.09515723304034,0.0270955053654152
"ENSG00000143512","ENSG00000143512",-2.41212590385894,0.23449643935114
"ENSG00000197253","ENSG00000197253",-2.94622874355902,0.0252998751085168
"ENSG00000073282","ENSG00000073282",-2.39895051511121,0.257381551323295
"ENSG00000186973","ENSG00000186973",-2.28065181930884,0.253096474500541
"ENSG00000214285","ENSG00000214285",-4.72489276186563,0.175400176573844
"ENSG00000223812","ENSG00000223812",-2.73316402400635,0.118440022942487
"ENSG00000172116","ENSG00000172116",-2.80373460637891,0.0487977091305039
"ENSG00000283787","ENSG00000283787",-2.47104290900759,0.24889853696799
"ENSG00000039537","ENSG00000039537",-4.46948528330122,0.0865837395407086
"ENSG00000118156","ENSG00000118156",-3.05626821964674,0.241148439105053
"ENSG00000130427","ENSG00000130427",-3.36419382186437,0.226434438340242
"ENSG00000251372","ENSG00000251372",-2.84187080375811,0.29958481521955
"ENSG00000163792","ENSG00000163792",-2.36170799687272,0.194950084646924
"ENSG00000197587","ENSG00000197587",-2.40251318988465,0.170874181311327
"ENSG00000249001","ENSG00000249001",-2,0.168054625222111
"ENSG00000111981","ENSG00000111981",-2.4644672085346,0.272910450962928
"ENSG00000243290","ENSG00000243290",-3.32950131459216,0.288344709970884
"ENSG00000242766","ENSG00000242766",-6.85798099512757,0.180804849838111
"ENSG00000162598","ENSG00000162598",-2.75364433531284,0.0170232740306519
"ENSG00000256193","ENSG00000256193",-2.74390164137658,0.0413213097471562
"ENSG00000225684","ENSG00000225684",-2.67761178868683,0.259542361942119
"ENSG00000197614","ENSG00000197614",-2.30485458152842,0.194652952280772
"ENSG00000173077","ENSG00000173077",-2.62743064186161,0.267676175626014
"ENSG00000140459","ENSG00000140459",-2.17550603370561,0.0675119360086087
"ENSG00000160183","ENSG00000160183",-2.60259239474295,0.0454186023234642
"ENSG00000151882","ENSG00000151882",-2.72935241005633,0.258822474624942
"ENSG00000231817","ENSG00000231817",-2.47300756791617,0.202162310491685
"ENSG00000213058","ENSG00000213058",-2.94693875624859,0.195960220020445
"ENSG00000108700","ENSG00000108700",-2.00765357254344,0.152515136939408
"ENSG00000287560","ENSG00000287560",-2.7067673381131,0.182557511982511
"ENSG00000233098","ENSG00000233098",-2.47916783669856,0.298350729002765
"ENSG00000164794","ENSG00000164794",-2.87184364850932,0.127929599459998
"ENSG00000137745","ENSG00000137745",-3.8151406670242,0.268754268601972
"ENSG00000027644","ENSG00000027644",-3.16853041937056,0.258988301271173
"ENSG00000154478","ENSG00000154478",-3.02236781302845,0.237618633265233
"ENSG00000161798","ENSG00000161798",-1.77583500804999,0.272697695493531
"ENSG00000138207","ENSG00000138207",-2.19788416434564,0.260067360017254
"ENSG00000134020","ENSG00000134020",-2.53879231928823,0.1142378553966
"ENSG00000241644","ENSG00000241644",-2.49926994276012,0.251994638258479
"ENSG00000168333","ENSG00000168333",-3.49476469174958,0.293473447280812
"ENSG00000132840","ENSG00000132840",-2.61322635293988,0.0842616013199228
"ENSG00000165072","ENSG00000165072",-2.657566249678,0.282324419185101
"ENSG00000164707","ENSG00000164707",-1.91152629630867,0.275359550510215
"ENSG00000180613","ENSG00000180613",-4.18029668551475,0.20544231746642
"ENSG00000167434","ENSG00000167434",-1.84101047623884,0.282683849340433
"ENSG00000189320","ENSG00000189320",-4.37476350229552,0.124028080680548
"ENSG00000211653","ENSG00000211653",-2.68133089519339,0.261548869475428
"ENSG00000100362","ENSG00000100362",-3.45392364069735,0.0775923314772877
"ENSG00000168081","ENSG00000168081",-2.72894857659228,0.149629405029205
"ENSG00000006611","ENSG00000006611",-2.69773043088311,0.235820500684876
"ENSG00000178602","ENSG00000178602",-4.68579294217669,0.296573412217957
"ENSG00000183036","ENSG00000183036",-2.48249834558294,0.178970726259773
"ENSG00000006128","ENSG00000006128",-2.63656157808954,0.123782671859348
"ENSG00000196091","ENSG00000196091",-1.86462335975908,0.168298138132719
"ENSG00000131771","ENSG00000131771",-1.95620113231547,0.255186148717013
"ENSG00000188257","ENSG00000188257",-2.09465156919989,0.257911613587751
"ENSG00000165949","ENSG00000165949",-2.1311297512716,0.107419334395441
"ENSG00000141469","ENSG00000141469",-4.62245728861705,0.281521963616018
"ENSG00000170290","ENSG00000170290",-3.42756999105073,0.261893726092712
"ENSG00000169245","ENSG00000169245",-4.29661472649695,0.296106566621317
"ENSG00000166741","ENSG00000166741",-2.37946383626653,0.186816069568438
"ENSG00000132434","ENSG00000132434",-3.10044968451751,0.214607502480789
"ENSG00000132432","ENSG00000132432",-2.96760916391431,0.152269937216512
"ENSG00000240583","ENSG00000240583",-2.16394992432028,0.249001106180613
