"","gene","FoldChange","p_value"
"ENSG00000169429","ENSG00000169429",3.24485658015783,0.277327925933751
"ENSG00000198732","ENSG00000198732",3.98099985055172,0.210575172288911
"ENSG00000142549","ENSG00000142549",2.89114361451876,0.0535857156383638
"ENSG00000134363","ENSG00000134363",3.15450169386477,0.144946681217742
"ENSG00000137142","ENSG00000137142",3.63478918602118,0.201108504153827
"ENSG00000150275","ENSG00000150275",3.20565751104819,0.245649420986388
"ENSG00000124440","ENSG00000124440",3.30155094151802,0.174664034910498
"ENSG00000124102","ENSG00000124102",4.01418741440383,0.234928264163254
"ENSG00000158164","ENSG00000158164",3.25292242336398,0.256557661024018
"ENSG00000169840","ENSG00000169840",2.80550254212297,0.219555692359097
"ENSG00000170549","ENSG00000170549",4.22604403356058,0.251864017612315
"ENSG00000153132","ENSG00000153132",3.21176327972794,0.137832554272109
"ENSG00000197083","ENSG00000197083",2.96127052641666,0.181953210761906
"ENSG00000128573","ENSG00000128573",3.42664168351963,0.236470681630826
"ENSG00000188011","ENSG00000188011",3.10416415054263,0.267257950755138
"ENSG00000168505","ENSG00000168505",3.20309186537751,0.140088697842326
"ENSG00000164946","ENSG00000164946",3.00287790847655,0.204052864908294
"ENSG00000257335","ENSG00000257335",3.76184026280524,0.271536859621338
"ENSG00000258548","ENSG00000258548",4.20922262671748,0.206489967468151
"ENSG00000162992","ENSG00000162992",3.63807383718072,0.234873993443449
"ENSG00000085552","ENSG00000085552",2.96044755216147,0.179695961101743
"ENSG00000153993","ENSG00000153993",3.39826178652802,0.210528299867362
"ENSG00000263958","ENSG00000263958",3.66652785287723,0.281414369087967
"ENSG00000241945","ENSG00000241945",3.02696704760027,0.0046223706636878
"ENSG00000214456","ENSG00000214456",3,0.16399070602866
"ENSG00000206557","ENSG00000206557",2.9877633274811,0.111469400315208
"ENSG00000237125","ENSG00000237125",3.78616959216698,0.243096916303459
"ENSG00000125813","ENSG00000125813",3.22517486200777,0.240773827367839
"ENSG00000170166","ENSG00000170166",3.24249362739296,0.185970668827947
"ENSG00000249362","ENSG00000249362",2.8802607557259,0.115175378347227
"ENSG00000169297","ENSG00000169297",5.09392107405349,0.196404262348801
"ENSG00000215612","ENSG00000215612",5.27910681233077,0.17448247617426
"ENSG00000204963","ENSG00000204963",3.33173126991772,0.282340095683747
"ENSG00000198028","ENSG00000198028",5.21976120586901,0.177172048199001
"ENSG00000186493","ENSG00000186493",4.84162482414235,0.103205636762384
"ENSG00000230699","ENSG00000230699",3.18043265926071,0.272649644326232
"ENSG00000170561","ENSG00000170561",5.95282687977538,0.0773034302800764
"ENSG00000260577","ENSG00000260577",4.18784690943957,0.149843527188365
"ENSG00000163736","ENSG00000163736",3.58496250072116,0.168039037364126
"ENSG00000179873","ENSG00000179873",3.24969227823965,0.215322867348437
"ENSG00000196109","ENSG00000196109",3.14159627838382,0.229053512497695
"ENSG00000229676","ENSG00000229676",3.89481776330794,0.154243205101569
"ENSG00000246528","ENSG00000246528",3.98489310760979,0.224966124382948
"ENSG00000180458","ENSG00000180458",3.26470322619441,0.284833045284645
"ENSG00000136944","ENSG00000136944",4.62449086490779,0.153262195386228
"ENSG00000118113","ENSG00000118113",3.10619940383192,0.202908705454234
"ENSG00000261754","ENSG00000261754",4.39827898101748,0.196354816518833
"ENSG00000171956","ENSG00000171956",3.36340473086352,0.113042816860147
"ENSG00000183032","ENSG00000183032",3.41307598294556,0.186271274976638
"ENSG00000197472","ENSG00000197472",3.84482962747627,0.12244653943603
"ENSG00000287340","ENSG00000287340",3.62205181945638,0.133518440821185
"ENSG00000288041","ENSG00000288041",3.83920378809694,0.299238188353498
"ENSG00000236816","ENSG00000236816",3.77760757866355,0.108110291056197
"ENSG00000174697","ENSG00000174697",3.91488338636205,0.287444474209551
"ENSG00000287867","ENSG00000287867",5.25738784269265,0.172363475273864
"ENSG00000230635","ENSG00000230635",3.96347412397489,0.130039105898927
"ENSG00000269345","ENSG00000269345",3.78659636189081,0.194460117131419
"ENSG00000271776","ENSG00000271776",4.64385618977473,0.081362632418409
"ENSG00000283458","ENSG00000283458",4.70043971814109,0.171669723105299
"ENSG00000205215","ENSG00000205215",4.41503749927884,0.148280099032071
"ENSG00000164400","ENSG00000164400",4.78135971352466,0.205037050189839
"ENSG00000205266","ENSG00000205266",4.52356195605701,0.143294275350381
"ENSG00000242021","ENSG00000242021",5.97727992349992,0.258729601402773
"ENSG00000268079","ENSG00000268079",5.16992500144231,0.240632946311979
"ENSG00000279104","ENSG00000279104",5.20945336562895,0.0210896104388859
"ENSG00000268104","ENSG00000268104",5.16992500144231,0.207764079997861
"ENSG00000164438","ENSG00000164438",Inf,0.278295166307563
"ENSG00000259907","ENSG00000259907",Inf,0.167211639541982
"ENSG00000228886","ENSG00000228886",Inf,0.223746165685958
"ENSG00000277984","ENSG00000277984",Inf,0.115054806257745
